"Census","X_Center","Y_Center","lats","lngs","nearest_wholefoods","nearest_wholefoods_lat","nearest_wholefoods_long","nearest_ralphs","nearest_ralphs_lat","nearest_ralphs_long","nearest_traderjoes","nearest_traderjoes_lat","nearest_traderjoes_long","nearest_library","nearest_library_lat","nearest_library_long","X2015ZRI","X2016ZRI","X2017ZRI","X2015ZHVI","X2016ZHVI","X2017ZHVI","Citations","Coffee","Restaurants","Shelters","totCars","totVans","totCampers","totTents","totEncamp","totCarPeople","totVanPeople","totCamperPeople","totTentPeople","totEncampPeople","totUnsheltPeople","totSheltPeople","totPeople","CrimeCount","MedHouseIncomes","HousingUnits","BusStops","X2015HousedPopulation","totHomeless2015","totHomeless2016","totHomeless2017","X2015Popin1Mi","X2016Popin1Mi","X2017Popin1Mi","TractSqMi"
900806,6518991.507,2075861.687,34.69644,-118.1419762,49377.0504832012,34.4126364,-118.5558802,43658.6500590014,34.4146522,-118.4731944,47001.6287150769,34.4285573,-118.5382822,50902.2585911463,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900900,6491196.142,2100209.17,34.76319781,-118.2346375,48883.6392281006,34.4126364,-118.5558802,44535.1952032437,34.4146522,-118.4731944,46496.4463451253,34.4285573,-118.5382822,54439.0331864587,34.3075438,-118.4502043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
901003,6493174.43,2076017.1,34.69673653,-118.227868,43641.1187246251,34.4126364,-118.5558802,38625.3654821696,34.4146522,-118.4731944,41243.1536530434,34.4285573,-118.5382822,47885.9296601092,34.3075438,-118.4502043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
901004,6499545.523,2072822.105,34.68799526,-118.2066501,44326.4674803206,34.4126364,-118.5558802,39026.9619390591,34.4146522,-118.4731944,41933.589396697,34.4285573,-118.5382822,47884.6411663399,34.3075438,-118.4502043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
901007,6506559.018,2060088.003,34.65304216,-118.1832421,43404.7645220139,34.4126364,-118.5558802,37566.6158475795,34.4146522,-118.4731944,41040.9427539309,34.4285573,-118.5382822,45244.2488281692,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
901008,6509122.218,2075950.868,34.69664232,-118.1748108,47118.0534518394,34.4126364,-118.5558802,41638.0973342403,34.4146522,-118.4731944,44730.8060821472,34.4285573,-118.5382822,50143.027114696,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
901009,6509159.35,2070676.509,34.68214976,-118.1746568,46064.1218724382,34.4126364,-118.5558802,40446.8904636253,34.4146522,-118.4731944,43683.989286148,34.4285573,-118.5382822,48578.4448481888,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
901010,6503802.92,2065349.726,34.66748608,-118.1924401,43766.2869962073,34.4126364,-118.5558802,38143.3384639511,34.4146522,-118.4731944,41387.4987304126,34.4285573,-118.5382822,46528.1087597716,34.3075438,-118.4502043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
901011,6509178.116,2065382.237,34.66760237,-118.1745638,45035.1527558189,34.4126364,-118.5558802,39277.5666715735,34.4146522,-118.4731944,42664.3387214396,34.4285573,-118.5382822,47009.8644526869,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
901101,6493253.243,2062727.716,34.66022082,-118.2275058,40821.0137361564,34.4126364,-118.5558802,35424.1728299748,34.4146522,-118.4731944,38432.6038594966,34.4285573,-118.5382822,44259.5019872988,34.3075438,-118.4502043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
901102,6498485.719,2062793.696,34.66043341,-118.2101059,42027.3357352494,34.4126364,-118.5558802,36477.4708456782,34.4146522,-118.4731944,39645.373127733,34.4285573,-118.5382822,45039.5523410011,34.3075438,-118.4502043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
901205,6477913.593,2068530.046,34.67605821,-118.2785703,38812.8439711362,34.4126364,-118.5558802,34135.6244628504,34.4146522,-118.4731944,36415.2815871996,34.4285573,-118.5382822,43941.4836897314,34.3075438,-118.4502043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
