Census,X_Center,Y_Center,lats,lngs
124300,6451480.009,1886536.136,34.17573776,-118.3642963
124400,6437790.744,1885946.549,34.17397287,-118.409547
124500,6432578.583,1885350.006,34.17227408,-118.4267703
124600,6432513.894,1881636.507,34.1620692,-118.4269321
124700,6435658.449,1881544.506,34.16185265,-118.4165362
124902,6440408.455,1884578.954,34.17024392,-118.4008746
124903,6440405.321,1883256.47,34.1666099,-118.4008675
125100,6443047.395,1882616.894,34.16488108,-118.3921251
125200,6445697.454,1882613.015,34.16489851,-118.3833648
125310,6450947.076,1884274.133,34.16951679,-118.366031
125320,6449683.891,1883245.133,34.16667654,-118.3701944
125401,6448435.052,1881768.61,34.16260657,-118.3743046
125402,6448517.313,1879612.492,34.15668272,-118.3740062
125501,6451011.774,1881645.252,34.16229366,-118.3657855
125502,6451077.135,1879583.398,34.15662865,-118.3655446
125600,6453705.77,1880034.458,34.15789405,-118.3568613
127102,6427262.456,1897649.298,34.20600731,-118.4445253
127103,6431901.558,1897079.627,34.20449734,-118.4291742
127104,6429899.668,1897335.151,34.20517582,-118.4357986
127210,6422615.331,1898519.696,34.20834158,-118.459908
127220,6424659.878,1897215.134,34.20478236,-118.4531264
127300,6419638.718,1898554.822,34.20840028,-118.4697535
127400,6416942.336,1899448.988,34.21082235,-118.4786856
127520,6419656.48,1902199.797,34.21841632,-118.4697511
127603,6416517.916,1893956.577,34.19572452,-118.4800027
127604,6416589.072,1895262.914,34.19931506,-118.479788
127605,6414745.822,1891980.015,34.19026985,-118.4858312
127606,6417177.836,1891967.028,34.1902662,-118.4777891
127711,6419583.992,1891115.846,34.18795845,-118.4698195
127712,6419521.766,1894559.695,34.1974208,-118.4700785
127803,6424661.998,1894570.551,34.19751549,-118.4530799
127804,6422018.255,1894574.246,34.19749258,-118.4618228
127805,6423259.513,1892641.144,34.19219633,-118.4576889
127806,6423390.514,1891321.991,34.18857314,-118.4572359
127910,6427298.11,1894576.778,34.19756494,-118.4443624
127920,6429940.919,1894565.398,34.19756546,-118.4356225
128101,6429930.998,1891921.141,34.19029933,-118.4356174
128102,6427290.001,1891931.469,34.19029594,-118.4443506
128210,6427280.79,1889488.821,34.18358382,-118.4443453
128220,6429932.679,1889466.123,34.18355334,-118.4355767
128302,6422384.428,1889612.741,34.18386377,-118.4605367
128303,6424849.603,1889314.751,34.1830757,-118.4523813
128400,6422881.743,1886948.622,34.17654944,-118.4588522
128500,6427259.862,1884656.2,34.17030427,-118.4443439
128601,6428259.497,1887619.3,34.17845851,-118.4410821
128602,6429904.251,1884975.826,34.17121436,-118.4356063
128702,6428590.355,1880974.602,34.1602039,-118.4398921
128801,6420960.703,1883932.651,34.16823777,-118.4651573
128802,6423955.021,1884006.67,34.16847883,-118.4552597
128910,6423033.149,1881522.268,34.16164058,-118.4582698
131010,6398304.469,1901002.341,34.2148311,-118.5403581
131020,6398401.99,1895385.264,34.19939776,-118.5399358
131100,6408805.17,1900872.503,34.21462445,-118.5056231
131200,6406203.002,1900922.728,34.21472619,-118.514231
131300,6403562.941,1900912.24,34.21465994,-118.5229633
131400,6400922.832,1900901.244,34.21459167,-118.5316957
131600,6394369.685,1900817.734,34.21426501,-118.5533697
131701,6392983.526,1897331.489,34.20466434,-118.5578906
131702,6395752.73,1897326.873,34.20469355,-118.5487321
131800,6402230.46,1897297.873,34.20470914,-118.527308
131900,6407506.185,1897274.339,34.20471926,-118.5098593
132001,6406171.712,1892677.451,34.19206909,-118.514195
132002,6408293.408,1893695.127,34.19489512,-118.507196
132101,6411774.949,1891991.83,34.19026246,-118.4956552
132102,6411277.987,1896300.584,34.20209547,-118.497369
132300,6402211.355,1894653.782,34.19744334,-118.5273253
132501,6395746.231,1894682.272,34.19742654,-118.5487058
132502,6395810.411,1892274.326,34.19081087,-118.5484501
132700,6402544.181,1891930.52,34.18996506,-118.5261775
132900,6402033.208,1889571.718,34.18347611,-118.5278262
133000,6393012.267,1893936.279,34.19533533,-118.5577333
133100,6397118.623,1890013.054,34.18461682,-118.5440838
134001,6383073.231,1896336.612,34.20177502,-118.5906472
134002,6384589.128,1896290.859,34.20167367,-118.585633
134101,6390356.896,1900854.066,34.21430341,-118.5666433
134103,6386351.828,1901588.771,34.21625948,-118.5799046
134104,6387709.271,1900013.878,34.21195339,-118.5753848
134201,6382937.462,1900648.018,34.2136198,-118.5911801
134302,6374071.04,1900940.045,34.2142754,-118.6205126
134303,6376171.934,1897007.265,34.20350426,-118.6134842
134304,6377161.754,1900796.52,34.21393301,-118.6102868
134305,6379767.225,1902127.706,34.21763403,-118.6016952
134306,6379752.702,1900046.412,34.21191477,-118.6017021
134421,6365992.365,1896532.028,34.202023,-118.64714
134422,6370764.439,1896987.349,34.20335753,-118.6313675
134423,6370164.226,1900883.205,34.21405225,-118.6334337
134424,6363171.274,1900752.265,34.21356915,-118.6565609
134520,6380438.264,1894757.01,34.19739169,-118.5993302
134521,6381699.785,1897383.122,34.20462838,-118.5952099
134522,6379732.012,1897411.591,34.20467441,-118.6017183
134710,6386556.517,1897355.578,34.20463065,-118.5791469
134720,6389681.338,1897342.908,34.20464487,-118.5688121
134800,6388899.18,1894311.729,34.19630352,-118.5713419
134901,6391975.091,1890848.434,34.1868346,-118.5611061
134903,6382436.618,1892585.772,34.19145807,-118.5926794
134904,6386108.571,1892443.429,34.19112582,-118.5805345
134905,6384954.825,1889623.498,34.18335878,-118.5842954
135102,6374487.049,1891591.246,34.18859364,-118.6189462
135111,6377103.153,1892936.385,34.1923338,-118.6103228
135113,6378398.12,1888808.579,34.18101285,-118.6059583
135114,6379047.374,1891107.709,34.18734119,-118.6038574
135201,6371917.189,1891507.522,34.1883198,-118.627442
135202,6369055.564,1891706.797,34.18881792,-118.6369084
135203,6362962.726,1892852.933,34.19185952,-118.6570799
137000,6367048.633,1883653.865,34.16665483,-118.6433741
137103,6379780.62,1886424.51,34.17448467,-118.6013402
137104,6384737.529,1886131.782,34.17376068,-118.5849467
137201,6375603.767,1885979.112,34.17319135,-118.6151401
137301,6369910.842,1887230.444,34.17653258,-118.633987
137302,6363800.554,1887566.362,34.17734803,-118.6541956
137401,6376873.291,1880857.332,34.1591389,-118.6108401
137402,6372596.857,1879545.809,34.15546284,-118.6249487
137501,6387183.385,1882904.736,34.16493217,-118.5767994
137502,6380860.319,1882402.946,34.16345183,-118.5976916
137504,6388582.24,1876748.658,34.14803831,-118.5720594
138000,6382838.049,1877059.394,34.14880084,-118.5910501
139001,6406889.895,1886611.635,34.1754113,-118.511718
139200,6402980.602,1886735.454,34.17569616,-118.5246447
139301,6392858.613,1887684.371,34.17815381,-118.5581266
139302,6398832.581,1887131.114,34.17672309,-118.5383656
139303,6400361.638,1886963.316,34.17628441,-118.5333073
139401,6399055.591,1884572.413,34.1696955,-118.537583
139402,6394757.943,1883893.123,34.16776493,-118.5517782
139502,6402452.108,1882059.637,34.1628402,-118.5263111
139503,6403003.485,1883856.282,34.167785,-118.5245194
139504,6404293.387,1883570.524,34.16701821,-118.5202504
139600,6407358.295,1882478.225,34.16405992,-118.5101001
139701,6411696.087,1880012.658,34.15734458,-118.4957206
139702,6408480.792,1874015.75,34.14082203,-118.5062486
139703,6400672.217,1875423.315,34.14457896,-118.5320786
139801,6396602.957,1878408.05,34.15272056,-118.5455805
139802,6393323.189,1874838.978,34.14286396,-118.5563555
141101,6432582.795,1877806.595,34.151546,-118.4266506
141102,6430865.95,1876922.8,34.14909731,-118.4323125
141201,6427809.183,1878256.909,34.15272669,-118.4424347
141202,6427822.851,1876238.224,34.14717982,-118.4423602
141302,6421640.286,1878631.532,34.15367976,-118.46283
141303,6423936.353,1879077.96,34.15493528,-118.4552476
141304,6424721.712,1877639.81,34.15099322,-118.4526303
141400,6417647.53,1880036.431,34.15748896,-118.4760491
141500,6416833.617,1873851.039,34.14048188,-118.4786421
141600,6422155.967,1873254.483,34.138911,-118.461044
141700,6429235.286,1872886.845,34.13798775,-118.4376439
143100,6454008.957,1876446.6,34.1480381,-118.3558171
143200,6449095.787,1876974.547,34.14943994,-118.3720618
143300,6444673.641,1878264.192,34.15293782,-118.3866939
143400,6437906.429,1878560.043,34.15367717,-118.4090651
143500,6438495.609,1876403.234,34.14775716,-118.4070888
143602,6444419.345,1875418.054,34.14511438,-118.3874981
143603,6449102.614,1875172.056,34.14448703,-118.3720172
143604,6450400.514,1874060.477,34.1414457,-118.3677144
143700,6453695.302,1869586.776,34.12918526,-118.3567733
143800,6446496.66,1871931.969,34.13555695,-118.3805891
143901,6441407.609,1870842.151,34.13250818,-118.3973919
143902,6434970.593,1872486.932,34.13695598,-118.4186852
181000,6500295.715,1874845.338,34.1439915,-118.2028257
181300,6493987.432,1871981.221,34.13608452,-118.2236529
181400,6498460.23,1872202.635,34.13671938,-118.2088736
181500,6503307.515,1871487.454,34.13478078,-118.1928507
181600,6498192.577,1869657.204,34.12972336,-118.2097406
183101,6506647.387,1867014.526,34.12250689,-118.1817872
183103,6508461.263,1864578.26,34.11582123,-118.17578
183104,6509422.652,1866653.398,34.121528,-118.1726155
183220,6504376.05,1866096.322,34.11997227,-118.1892861
183221,6503879.68,1868084.187,34.12543207,-118.1909386
183222,6501945.694,1869452.014,34.1291804,-118.1973377
183300,6500886.983,1866477.15,34.12100013,-118.2008163
183401,6498342.128,1866724.734,34.12166619,-118.2092262
183402,6496171.101,1868204.816,34.12572062,-118.2164099
183510,6500196.933,1864441.341,34.11540219,-118.2030827
183520,6500647.033,1862816.997,34.11094121,-118.2015849
183610,6502673.501,1863927.015,34.11400237,-118.1948974
183620,6504201.383,1864351.182,34.11517596,-118.1898523
183701,6504800.497,1862213.814,34.10930586,-118.1878598
183702,6505907.065,1860817.599,34.10547488,-118.1841957
183810,6501775.153,1861513.316,34.10736504,-118.1978495
183820,6501991.982,1860273.453,34.10395924,-118.1971252
185100,6497975.884,1860617.582,34.10488248,-118.2103941
185202,6495949.309,1857047.237,34.09505984,-118.2170631
185203,6491525.668,1858901.216,34.10012717,-118.2316884
185204,6494079.488,1859905.958,34.10290395,-118.22326
185310,6494262.92,1856011.216,34.09220286,-118.2226256
185320,6493572.543,1854593.215,34.08830217,-118.2248954
186100,6492065.889,1869211.689,34.12846232,-118.2299818
186201,6495430.441,1866602.147,34.1213123,-118.2188456
186202,6493811.961,1866138.726,34.12002908,-118.2241897
186203,6496486.033,1864303.843,34.11500315,-118.2153417
186301,6488897.502,1866994.921,34.12235058,-118.2404336
186302,6492393.239,1863465.404,34.11267438,-118.228857
186401,6487355.96,1865226.707,34.11748153,-118.2455126
186403,6489172.809,1863164.374,34.11182658,-118.2394938
186404,6490398.801,1861317.483,34.10675954,-118.2354293
187101,6483253.64,1864497.625,34.11544983,-118.2590599
187102,6488049.601,1860214.078,34.10371217,-118.2431809
187200,6486818.781,1860038.737,34.10322211,-118.2472452
187300,6483946.952,1859458.715,34.10160851,-118.2567268
188100,6479617.042,1872185.373,34.13654831,-118.2711429
188201,6479258.193,1863192.679,34.111835,-118.2722483
188202,6476993.147,1864859.523,34.11639816,-118.2797464
188300,6481722.159,1866432.984,34.12075697,-118.2641364
189101,6474329.948,1860623.225,34.10473674,-118.288505
189102,6474359.911,1863485.017,34.11260077,-118.2884331
189201,6472011.223,1860210.057,34.10358289,-118.2961605
189202,6472141.779,1863026.236,34.11132239,-118.2957566
189300,6468037.742,1863018.557,34.11126735,-118.3093146
189400,6464467.645,1866237.306,34.12008123,-118.3211428
189500,6464412.274,1861990.289,34.10841057,-118.3212809
189600,6461848.51,1863070.369,34.11135566,-118.3297619
189701,6459895.339,1869555.099,34.12915696,-118.3362861
189702,6458443.022,1863492.391,34.11248409,-118.3410171
189800,6452970.198,1858346.817,34.09829245,-118.3590366
189902,6456004.515,1857567.389,34.09618007,-118.3490051
189903,6456403.862,1859871.484,34.10251518,-118.3477123
189904,6456678.689,1858852.976,34.09971908,-118.3467929
189905,6455228.09,1859179.684,34.10060298,-118.3515882
190100,6458221.807,1858762.629,34.09948534,-118.3416948
190201,6461853.476,1860159.785,34.10335785,-118.329714
190202,6460091.286,1860181.775,34.10340225,-118.3355353
190301,6466248.651,1860304.621,34.10379458,-118.315197
190401,6470005.31,1860212.016,34.10357185,-118.3027867
190402,6468683.956,1860207.739,34.10354908,-118.3071514
190510,6467396.786,1858911.778,34.09997708,-118.3113901
190520,6469693.082,1858888.632,34.09993279,-118.3038048
190700,6460649.542,1858455.071,34.09866263,-118.3336722
190801,6463433.862,1856886.212,34.09437669,-118.3244586
190802,6461781.637,1856885.655,34.09436038,-118.3299158
190901,6467061.418,1856891.271,34.09442217,-118.3124771
190902,6465082.581,1856887.603,34.09439501,-118.319013
191000,6464283.681,1859277.389,34.10095479,-118.321677
191110,6469345.494,1857671.011,34.09658406,-118.3049408
191120,6469385.884,1856340.643,34.09292874,-118.304794
191201,6472001.914,1858388.217,34.09857666,-118.2961735
191203,6472682.141,1856417.698,34.09316745,-118.2939076
191204,6471357.89,1856384.724,34.09306612,-118.2982812
191301,6474898.215,1856108.182,34.09233453,-118.2865853
191302,6474351.746,1857526.555,34.09622771,-118.2884036
191410,6474430.773,1854809.425,34.08876206,-118.2881169
191420,6474431.2,1853484.548,34.0851215,-118.2881029
191500,6472031.102,1854270.064,34.08726082,-118.296037
191610,6469026.543,1853959.515,34.08638275,-118.3059569
191620,6470007.457,1854758.578,34.08858662,-118.3027253
191710,6465695.948,1854017.097,34.08651262,-118.3169572
191720,6467090.181,1854841.425,34.08878974,-118.3123611
191810,6462442.36,1854905.089,34.08892402,-118.3277122
191820,6462440.271,1853584.902,34.08529632,-118.3277048
191901,6459220.258,1855555.868,34.09068293,-118.3383611
191902,6459072.162,1853041.632,34.08377281,-118.3388222
