Census,X_Center,Y_Center,lats,lngs,nearest_ralphs,nearest_ralphs_lat,nearest_ralphs_long,nearest_traderjoes,nearest_traderjoes_lat,nearest_traderjoes_long,nearest_library,nearest_library_lat,nearest_library_long,X2015ZRI,X2016ZRI,X2017ZRI,X2015ZHVI,X2016ZHVI,X2017ZHVI,Citations,Coffee,Restaurants,Shelters,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,totUnsheltPeople,totSheltPeople,totPeople,CrimeCount,MedHouseIncomes,HousingUnits,BusStops,X2015HousedPopulation,totHomeless2015,totHomeless2016,totHomeless2017,X2015Popin1Mi,X2016Popin1Mi,X2017Popin1Mi,TractSqMi
106408,6428778.067,1936674.701,34.31326132,-118.4400777,8459.08567,34.256727,-118.501532,7242.15157,34.272659,-118.5016054,1127.878015,34.3075438,-118.4502043,2233.458333,2357.083333,2441.222222,393525,425454.1667,451016.6667,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,53,37625,0,2,3825,49.16666667,10,2,107.8333333,108,54.078,0.088378707
106510,6415205.903,1940486.584,34.32356412,-118.4850839,7592.504032,34.256727,-118.501532,5866.883519,34.272659,-118.5016054,3669.473458,34.3075438,-118.4502043,2429.666667,2575.916667,2653.777778,476608.3333,506454.1667,530655.5556,0,0,2,0,0,1,5,0,0,0,2,10,0,0,12,0,12,147,85344,0,14,5454,10.83333333,21,12.282,0,0,0,2.212980787
106520,6422346.534,1935100.856,34.3088574,-118.4613524,6880.011498,34.256727,-118.501532,5472.035278,34.272659,-118.5016054,1035.465858,34.3075438,-118.4502043,2370.944444,2517.166667,2597.925926,446586.1111,478238.8889,502851.8519,0,1,1,0,11,1,6,4,3,17,2,13,7,6,44,0,44,174,62788,0,5,6188,2,11,44.462,43.66666667,82,32.329,0.851614118
106603,6403705.827,1938373.257,34.31759857,-118.5231356,6050.950213,34.2632485,-118.5241562,5380.251438,34.272659,-118.5016054,5621.828869,34.2772071,-118.5598302,2661.833333,2824.138889,2915.148148,545955.5556,575658.3333,602466.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,94787,0,2,3045,0.333333333,18,0,0,0,0,5.906384921
106604,6418618.029,1933511.514,34.3044425,-118.4736742,5897.438068,34.256727,-118.501532,4372.37907,34.272659,-118.5016054,2185.596509,34.3075438,-118.4502043,2370.944444,2517.166667,2597.925926,446586.1111,478238.8889,502851.8519,0,0,5,0,3,2,3,0,0,5,4,6,0,0,15,0,15,191,55660,68,10,5373,4.666666667,13,14.673,7,11,44.462,1.008750427
106641,6408109.99,1931388.988,34.29846908,-118.5084331,4178.969462,34.2632485,-118.5241562,2940.994218,34.272659,-118.5016054,3933.322896,34.2642841,-118.4976183,2869.708333,3052.791667,3153.111111,610783.3333,642166.6667,668011.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,109583,0,2,2401,0,0,0,0,0,6.285,0.438372355
106642,6408516.396,1926966.482,34.28632241,-118.5070136,3014.010953,34.2632485,-118.5241562,1600.288459,34.272659,-118.5016054,2601.073452,34.2642841,-118.4976183,2695.583333,2860.694444,2947,550969.4444,580336.1111,608359.2593,0,0,0,0,0,0,2,0,0,0,0,4,0,0,4,0,4,86,97448,0,9,3309,0,0,4.19,0.5,15,6.501,0.60905597
106643,6403990.518,1928129.189,34.28945368,-118.5220166,2923.779129,34.2632485,-118.5241562,2649.555881,34.272659,-118.5016054,3589.896287,34.2642841,-118.4976183,2869.708333,3052.791667,3153.111111,610783.3333,642166.6667,668011.1111,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,2,83,142000,0,1,4466,0,0,2.095,0,0,4.19,1.672700844
106645,6412402.792,1928490.281,34.29056275,-118.4941725,3826.936072,34.256727,-118.501532,2107.040456,34.272659,-118.5016054,2942.447603,34.2642841,-118.4976183,2370.944444,2517.166667,2597.925926,446586.1111,478238.8889,502851.8519,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,115972,0,6,3421,0,0,0,5,14,6.893,0.975947805
106646,6412452.249,1924550.61,34.27973785,-118.4939446,2654.954634,34.256727,-118.501532,1057.146405,34.272659,-118.5016054,1753.183958,34.2642841,-118.4976183,2471.933333,2615.466667,2723.2,483023.3333,516916.6667,548071.1111,0,4,4,0,0,0,0,1,0,0,0,0,2,0,3,0,3,101,88810,0,9,3347,0,14,2.703,0.5,4,61.18,0.569917042
